fold,approach,accuracy,n_train,n_test
1,Persistence,0.5080275229357798,872,872
1,Majority Class,0.555045871559633,872,872
1,Raw Features,0.5240825688073395,872,872
1,Engineered Features,0.5263761467889908,872,872
1,Engineered (Random Forest),0.5126146788990825,872,872
2,Persistence,0.4988532110091743,1744,872
2,Majority Class,0.5561926605504587,1744,872
2,Raw Features,0.5561926605504587,1744,872
2,Engineered Features,0.5573394495412844,1744,872
2,Engineered (Random Forest),0.5286697247706422,1744,872
3,Persistence,0.4736238532110092,2616,872
3,Majority Class,0.5435779816513762,2616,872
3,Raw Features,0.5401376146788991,2616,872
3,Engineered Features,0.5424311926605505,2616,872
3,Engineered (Random Forest),0.5091743119266054,2616,872
4,Persistence,0.4919724770642202,3488,872
4,Majority Class,0.5596330275229358,3488,872
4,Raw Features,0.5642201834862385,3488,872
4,Engineered Features,0.5596330275229358,3488,872
4,Engineered (Random Forest),0.5103211009174312,3488,872
5,Persistence,0.5091743119266054,4360,872
5,Majority Class,0.551605504587156,4360,872
5,Raw Features,0.5504587155963303,4360,872
5,Engineered Features,0.5538990825688074,4360,872
5,Engineered (Random Forest),0.5252293577981652,4360,872
